Organization,Job/Internship Title,Role Category,Link to Apply or Handshake Job ID,Full-Time ,Internship,Date Added to S/S,Application Deadline if Listed
Daktronics,Product Demonstration Technical Intern,Product,https://careers-daktronics.icims.com/jobs/6505/product-demonstration-technical-intern/job?utm_source=careerwatch.apexearlycareers.com&utm_medium=newsletter&utm_campaign=30-paid-summer-2025-internships&_bhlid=feb680d748017d06130535f17c7cc76216300058&mobile=false&width=920&height=500&bga=true&needsRedirect=false&jan1offset=-300&jun1offset=-240,,X,10/3/24,
Micron Technology,Intern - Product Architecture,Product,https://careers.micron.com/careers/job/24757571?src=JB-12600&domain=micron.com&utm_source=linkedin&_bhlid=1fca8f2aac12d35fa774150b6a62cc1f711a5aa0,,X,10/3/24,
Oracle,Software Engineer Intern - Analytics Cloud,Software,https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/255982?utm_medium=jobboard&utm_source=LinkedIn&_bhlid=bca6d5107e0b93f6c26e199a5b17bfa77546374e,,X,10/3/24,
Accuray,Data Analytics Intern,Data,https://accuray.wd5.myworkdayjobs.com/External/job/Madison-WI/Data-Analytics-Intern_2694?source=LinkedIn&utm_source=careerwatch.apexearlycareers.com&utm_medium=newsletter&utm_campaign=30-paid-summer-2025-internships&_bhlid=ff07ad1d74c1ce9a41bbc82838c25a88bbf83aa3,,X,10/3/24,
Intuitive,AI Research Intern,Data,https://careers.intuitive.com/en/jobs/744000015222830/JOB9231/ai-research-intern/?source=linkedin&utm_source=careerwatch.apexearlycareers.com&utm_medium=newsletter&utm_campaign=30-paid-summer-2025-internships&_bhlid=ffc52550d660514b5a17fc7d428dcc23daa96f5e,,X,10/3/24,
Comcast,AI-Driven Software Development Intern,Various,https://jobs.comcast.com/job/-/-/45483/70239974992?source=linkedin_spons_job_at&utm_source=careerwatch.apexearlycareers.com&utm_medium=newsletter&utm_campaign=30-paid-summer-2025-internships&_bhlid=448113581730802ad08d65aef0480f9e26abcf67,,X,10/3/24,
Tanium,Cloud Cybersecurity Intern,Security,https://www.tanium.com/careers/6251494?gh_jid=6251494&gh_src=f0ee6cde1us&utm_source=careerwatch.apexearlycareers.com&utm_medium=newsletter&utm_campaign=30-paid-summer-2025-internships&_bhlid=9b2d70e47803fcbc0b6c8357bac19da3ce76dadd,,X,10/3/24,
Grant Thornton,Cybersecurity and Privacy Intern - Summer 2025,Security,https://ehzq.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/111177?src=SNS-10068&utm_medium=jobshare&_bhlid=f22d61d5f1f693a5da4da33986fe6758e491b4b3,,X,10/3/24,
Cambridge,Business Development Business Analyst Intern,BI/Analytics,https://careers.joincambridge.com/jobs/2614?mode=apply&iis=LinkedIn&utm_source=careerwatch.apexearlycareers.com&utm_medium=newsletter&utm_campaign=30-paid-summer-2025-internships&_bhlid=0482bd705a0ad9c66aac7682dd06792cbcf7dde7,,X,10/3/24,
Ibotta,Business Development Intern,BI/Analytics,https://jobs.ibotta.com/jobs/internships/denver_job_posting/business-development-intern/R-101565?amp&utm_campaign=ongig-job-aggregators&utm_medium=referral&source=LinkedIn&utm_source=linkedin&group=2064&_bhlid=dae723f2deb325b3b092e1935bef5beedd9dd7b7,,X,10/3/24,
Aircall,Data Science Manager,Data,https://jobs.lever.co/aircall/42251d8c-3827-4801-abaa-fb958445c0b9/apply?lever-source=skillsire,X,,10/3/24,
CoreWeave,"Data Analyst, Capacity Team",Data,https://boards.greenhouse.io/coreweave/jobs/4406405006?utm_source=skillsire&utm_medium=skillsire&utm_campaign=skillsire&source=skillsire&ref=skillsire,X,,10/3/24,
CommScope,Senior Cyber Security Engineer,Security,https://career4.successfactors.com/career?career_ns=job_listing&company=CommScope&career_job_req_id=77555&utm_source=appcast&utm_campaign=SRM_SP,X,,10/3/24,
Thumbtack,"Manager, Product Data Science",Product,https://boards.greenhouse.io/thumbtack/jobs/6293764?utm_source=skillsire&utm_medium=skillsire&utm_campaign=skillsire&source=skillsire&ref=skillsire,X,,10/3/24,
ParetoHealth,Data Analyst - Health Insurance,Data,https://job-boards.greenhouse.io/paretocaptiveservicesllc/jobs/4406141006?utm_source=skillsire&utm_medium=skillsire&utm_campaign=skillsire&source=skillsire&ref=skillsire,X,,10/3/24,
Tackle.io,Data Engineer (Mid-level),Data,https://jobs.lever.co/tackle/1d2b5d26-9c8c-4a02-8288-4929cfe2f339/apply?lever-source=skillsire,X,,10/3/24,
Coinbase,Data Engineer,Data,https://www.coinbase.com/careers/positions/6257454?gh_jid=6257454&utm_source=skillsire&utm_medium=skillsire&utm_campaign=skillsire&source=skillsire&ref=skillsire,X,,10/3/24,
Smartsheet,Sr. Data Engineer,Data,https://job-boards.greenhouse.io/smartsheet/jobs/6151202?utm_source=skillsire&utm_medium=skillsire&utm_campaign=skillsire&source=skillsire&ref=skillsire,X,,10/3/24,
Datalab USA,Data Scientist,Data,https://jobs.lever.co/datalabusa/5a7bfe97-f82b-4f7e-b420-d62ca3af04b5/apply?lever-source=skillsire,X,,10/3/24,
Spotify,Data Scientist - Financial Data & Insights,Data,https://jobs.lever.co/spotify/2dc265c4-81e2-4d32-b42d-4e8c605b1515/apply?lever-source=skillsire,X,,10/3/24,
Meta,"Software Engineer, Intern/Co-op",Software,https://www.metacareers.com/v2/jobs/1647923135778238/,,X,10/4/24,
Meta,Meta University - Engineering - Summer 2025,Various,https://www.metacareers.com/v2/jobs/995447835688062/,,X,10/4/24,
Pinterest,Software Engineering Intern 2025,Software,https://lnkd.in/eBsnYE9Z,,X,10/10/24,
Intuit,Software Engineering Intern,Software,https://jobs.intuit.com/job/-/-/27595/70124805024?cid=pjob_li_click_us_swe-other-fy25_cn_text_job_int-tm&iis=pjob&iisn=li&p_sid=9LlaBCb&p_uid=tyVpQb0LKb&ss=paid&utm_campaign=&utm_content=pj_board&utm_medium=jobad,,X,10/10/24,
Wayfair,Data Scientist Intern-Summer 2025,Data,https://simplify.jobs/p/f47e6eb9-adeb-456e-9d66-91d0534d4580/Data-Scientist-Intern-Summer-2025,,X,10/10/24,
Duolingo,Data Scientist Intern ,Data,https://simplify.jobs/p/2884a800-0120-4af8-a039-6c17317534c4/Data-Scientist--Intern,,X,10/10/24,
Humane,Software Engineering Intern,Software,https://simplify.jobs/p/8dce53af-b258-4d47-bc30-5e6de388c758/Software-Engineering-Intern,,X,10/10/24,
Motorola,Software Engineering Intern,Software,https://simplify.jobs/p/545fc5f4-0bac-40a0-bc29-fa8243933b22/Software-Engineer-Intern,,X,10/10/24,
F5,Software Engineering Intern,Software,https://simplify.jobs/p/21f6d894-76a9-426f-b6d7-3f3b28ec3c4d/Software-Engineer-Intern,,X,10/10/24,
Fetch,Frontend Software Engineering Internship,Software,https://simplify.jobs/p/5a764ad7-35b5-4ae1-9167-ee590dd9eacc/Frontend-Software-Engineering-Internship,,X,10/10/24,
Patreon,"Software Engineering Intern",Software,https://simplify.jobs/p/2834e3af-155e-4c50-8a9d-72aaec4b9af5/Software-Engineering-Intern,,X,10/10/24,
